level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1700	2200	-1	
2	1	1	0	0	0	1032	111	588	135	-1	
3	1	1	1	0	0	1032	111	588	135	-1	
4	1	1	1	1	0	1032	111	588	135	-1	
5	1	1	1	1	1	1032	111	366	131	95.247192	Demo
5	1	1	1	1	2	1433	113	187	133	96.088890	Co.
2	1	2	0	0	0	100	301	1460	84	-1	
3	1	2	1	0	0	83	301	1477	84	-1	
4	1	2	1	1	0	100	301	1460	84	-1	
5	1	2	1	1	1	100	338	33	42	91.999420	N
5	1	2	1	1	2	139	301	80	84	74.933243	Vie)
5	1	2	1	1	3	239	337	31	44	62.167603	C
5	1	2	1	1	4	276	338	23	42	65.996880	E
5	1	2	1	1	5	1006	328	71	17	96.268166	Invoice
5	1	2	1	1	6	1085	329	46	16	96.268166	Date
5	1	2	1	1	7	1315	332	58	16	96.473206	Demo
5	1	2	1	1	8	1380	332	94	21	96.666275	Company
5	1	2	1	1	9	1482	331	78	21	96.718330	(Global)
4	1	2	1	2	0	1006	359	456	25	-1	
5	1	2	1	2	1	1006	359	22	16	96.530174	13
5	1	2	1	2	2	1037	359	36	16	96.439728	Dec
5	1	2	1	2	3	1080	359	48	16	96.439728	2025
5	1	2	1	2	4	1314	368	23	16	96.992317	23
5	1	2	1	2	5	1345	368	49	16	96.801109	Main
5	1	2	1	2	6	1402	368	60	16	94.554764	Street
2	1	3	0	0	0	79	855	1496	10	-1	
3	1	3	1	0	0	79	855	1496	10	-1	
4	1	3	1	1	0	79	855	1496	10	-1	
5	1	3	1	1	1	79	855	1496	10	95.000000	 
2	1	4	0	0	0	87	403	1479	807	-1	
3	1	4	1	0	0	87	403	1479	807	-1	
4	1	4	1	1	0	205	403	1224	30	-1	
5	1	4	1	1	1	205	431	2	2	26.529602	;
5	1	4	1	1	2	1006	407	71	17	96.776894	Invoice
5	1	4	1	1	3	1085	407	83	17	96.944786	Number
5	1	4	1	1	4	1314	403	70	17	96.445305	Central
5	1	4	1	1	5	1392	404	37	21	94.853333	City
4	1	4	1	2	0	159	430	1359	26	-1	
5	1	4	1	2	1	159	430	75	22	96.862595	Bayside
5	1	4	1	2	2	241	430	44	17	96.855988	Club
5	1	4	1	2	3	1006	438	91	16	89.080902	INV-0028
5	1	4	1	2	4	1315	440	134	16	92.106438	MARINEVILLE
5	1	4	1	2	5	1458	440	60	16	96.804031	12345
4	1	4	1	3	0	158	466	880	38	-1	
5	1	4	1	3	1	158	467	100	16	96.495811	Attention:
5	1	4	1	3	2	266	466	44	17	96.333870	Club
5	1	4	1	3	3	317	467	94	21	96.333870	Secretary
5	1	4	1	3	4	1006	487	32	17	89.018364	Ref
4	1	4	1	4	0	1019	492	88	12	-1	
5	1	4	1	4	1	1019	492	88	12	59.718704	eference
4	1	4	1	5	0	159	500	955	38	-1	
5	1	4	1	5	1	159	504	10	16	84.882172	P
5	1	4	1	5	2	177	504	14	16	84.882172	O
5	1	4	1	5	3	200	504	35	16	96.180092	Box
5	1	4	1	5	4	242	504	49	16	89.745758	3354
5	1	4	1	5	5	1005	500	109	38	90.984833	GB1-White
4	1	4	1	6	0	158	539	212	22	-1	
5	1	4	1	6	1	158	539	57	17	96.985352	South
5	1	4	1	6	2	224	539	73	22	96.506813	Mailing
5	1	4	1	6	3	304	540	66	16	96.879906	Centre
4	1	4	1	7	0	159	568	917	24	-1	
